jobnr,mode,barT,maxT,u_abs,cost,Rreq
1,1,0,0,0,0,0
2,1,1,2,1,8,1
2,2,7,8,1,2,9
2,3,9,11,2,0,4
3,1,2,3,1,7,6
3,2,3,4,1,6,5
3,3,9,10,1,0,3
4,1,5,6,1,2,8
4,2,7,8,1,0,7
4,3,7,9,2,0,3
5,1,2,3,1,7,10
5,2,8,9,1,1,10
5,3,9,10,1,0,3
6,1,4,5,1,5,3
6,2,5,6,1,4,2
6,3,9,12,3,0,2
7,1,2,3,1,8,5
7,2,7,8,1,3,2
7,3,10,12,2,0,5
8,1,5,6,1,3,7
8,2,7,8,1,1,7
8,3,8,11,3,0,6
9,1,2,3,1,6,9
9,2,8,9,1,0,7
9,3,8,9,1,0,7
10,1,3,4,1,1,4
10,2,4,5,1,0,7
10,3,4,6,2,0,2
11,1,2,3,1,8,8
11,2,6,7,1,4,4
11,3,10,12,2,0,3
12,1,3,4,1,1,7
12,2,3,4,1,1,5
12,3,4,6,2,0,5
13,1,4,5,1,5,6
13,2,6,7,1,3,6
13,3,9,11,2,0,5
14,1,3,5,2,5,6
14,2,8,9,1,0,9
14,3,8,10,2,0,8
15,1,7,8,1,1,5
15,2,7,8,1,1,8
15,3,8,9,1,0,6
16,1,4,5,1,5,9
16,2,6,7,1,3,8
16,3,9,12,3,0,7
17,1,5,6,1,4,2
17,2,5,6,1,4,3
17,3,9,10,1,0,2
18,1,3,4,1,7,4
18,2,7,8,1,3,5
18,3,10,11,1,0,5
19,1,1,2,1,4,6
19,2,2,3,1,3,6
19,3,5,7,2,0,6
20,1,1,2,1,6,6
20,2,5,6,1,2,5
20,3,7,9,2,0,4
21,1,1,2,1,7,9
21,2,5,6,1,3,5
21,3,8,10,2,0,3
22,1,0,0,0,0,0
