jobnr,mode,barT,maxT,u_abs,cost,Rreq
1,1,0,0,0,0,0
2,1,1,2,1,7,8
2,2,1,2,1,7,7
2,3,8,11,3,0,7
3,1,3,4,1,7,10
3,2,7,8,1,3,9
3,3,10,11,1,0,6
4,1,3,4,1,6,9
4,2,6,7,1,3,8
4,3,9,12,3,0,5
5,1,1,2,1,9,3
5,2,2,4,2,8,2
5,3,10,11,1,0,2
6,1,2,3,1,4,7
6,2,3,4,1,3,10
6,3,6,7,1,0,9
7,1,5,6,1,2,9
7,2,6,7,1,1,7
7,3,7,8,1,0,5
8,1,2,3,1,6,4
8,2,5,6,1,3,7
8,3,8,10,2,0,2
9,1,2,3,1,8,10
9,2,3,4,1,7,9
9,3,10,11,1,0,7
10,1,3,4,1,6,6
10,2,3,5,2,6,2
10,3,9,11,2,0,7
11,1,4,5,1,6,7
11,2,6,7,1,4,6
11,3,10,12,2,0,5
12,1,7,8,1,3,5
12,2,10,11,1,0,4
12,3,10,12,2,0,2
13,1,3,4,1,7,3
13,2,6,8,2,4,1
13,3,10,12,2,0,1
14,1,1,2,1,3,8
14,2,2,3,1,2,8
14,3,4,6,2,0,2
15,1,1,2,1,2,6
15,2,1,3,2,2,1
15,3,3,4,1,0,8
16,1,2,4,2,2,5
16,2,4,5,1,0,6
16,3,4,5,1,0,6
17,1,3,4,1,6,7
17,2,8,9,1,1,5
17,3,9,10,1,0,7
18,1,1,3,2,9,8
18,2,4,5,1,6,9
18,3,10,11,1,0,9
19,1,2,3,1,6,6
19,2,5,7,2,3,4
19,3,8,10,2,0,5
20,1,1,2,1,2,6
20,2,2,3,1,1,5
20,3,3,4,1,0,4
21,1,3,4,1,6,8
21,2,9,11,2,0,6
21,3,9,10,1,0,7
22,1,0,0,0,0,0
