jobnr,mode,barT,maxT,u_abs,cost,Rreq
1,1,0,0,0,0,0
2,1,2,3,1,8,7
2,2,8,9,1,2,7
2,3,10,13,3,0,6
3,1,1,2,1,6,2
3,2,5,6,1,2,2
3,3,7,8,1,0,1
4,1,4,5,1,6,9
4,2,6,7,1,4,7
4,3,10,13,3,0,2
5,1,2,3,1,3,3
5,2,3,4,1,2,3
5,3,5,6,1,0,2
6,1,1,2,1,6,4
6,2,6,7,1,1,4
6,3,7,8,1,0,2
7,1,1,2,1,9,10
7,2,6,7,1,4,9
7,3,10,13,3,0,9
8,1,1,2,1,2,7
8,2,2,3,1,1,5
8,3,3,4,1,0,4
9,1,5,6,1,5,9
9,2,7,8,1,3,9
9,3,10,11,1,0,7
10,1,2,3,1,1,6
10,2,3,4,1,0,5
10,3,3,5,2,0,3
11,1,3,4,1,3,4
11,2,5,6,1,1,3
11,3,6,7,1,0,1
12,1,3,4,1,3,4
12,2,5,6,1,1,4
12,3,6,7,1,0,3
13,1,2,3,1,8,7
13,2,6,7,1,4,6
13,3,10,12,2,0,6
14,1,3,4,1,5,6
14,2,7,9,2,1,2
14,3,8,9,1,0,2
15,1,1,3,2,3,1
15,2,3,4,1,1,3
15,3,4,5,1,0,2
16,1,4,5,1,4,4
16,2,8,10,2,0,3
16,3,8,11,3,0,1
17,1,5,7,2,5,7
17,2,9,10,1,1,9
17,3,10,11,1,0,8
18,1,10,11,1,0,1
18,2,10,11,1,0,2
18,3,10,12,2,0,5
19,1,4,5,1,6,3
19,2,6,7,1,4,1
19,3,10,11,1,0,4
20,1,1,2,1,8,5
20,2,7,8,1,2,6
20,3,9,11,2,0,3
21,1,2,3,1,7,7
21,2,8,9,1,1,6
21,3,9,11,2,0,3
22,1,0,0,0,0,0
