jobnr,mode,barT,maxT,u_abs,cost,Rreq
1,1,0,0,0,0,0
2,1,1,2,1,5,10
2,2,3,4,1,3,4
2,3,6,8,2,0,3
3,1,4,5,1,5,10
3,2,6,7,1,3,8
3,3,9,10,1,0,2
4,1,5,6,1,4,6
4,2,6,7,1,3,3
4,3,9,12,3,0,3
5,1,5,6,1,5,5
5,2,9,10,1,1,4
5,3,10,11,1,0,3
6,1,7,8,1,2,9
6,2,9,10,1,0,9
6,3,9,10,1,0,8
7,1,2,3,1,6,9
7,2,4,5,1,4,8
7,3,8,11,3,0,7
8,1,3,4,1,6,8
8,2,5,6,1,4,5
8,3,9,11,2,0,8
9,1,4,5,1,4,7
9,2,7,8,1,1,3
9,3,8,9,1,0,2
10,1,3,4,1,6,7
10,2,8,10,2,1,6
10,3,9,11,2,0,2
11,1,2,3,1,3,7
11,2,4,5,1,1,7
11,3,5,7,2,0,7
12,1,1,2,1,9,10
12,2,2,3,1,8,4
12,3,10,12,2,0,6
13,1,1,2,1,7,8
13,2,6,7,1,2,6
13,3,8,10,2,0,4
14,1,6,8,2,1,3
14,2,6,7,1,1,3
14,3,7,8,1,0,4
15,1,3,4,1,4,8
15,2,6,8,2,1,4
15,3,7,8,1,0,4
16,1,3,4,1,2,6
16,2,4,6,2,1,2
16,3,5,6,1,0,9
17,1,5,6,1,3,7
17,2,5,6,1,3,7
17,3,8,11,3,0,4
18,1,3,4,1,5,10
18,2,6,7,1,2,10
18,3,8,9,1,0,9
19,1,4,5,1,6,9
19,2,6,7,1,4,7
19,3,10,12,2,0,6
20,1,4,5,1,6,5
20,2,8,10,2,2,5
20,3,10,13,3,0,3
21,1,3,4,1,7,8
21,2,6,7,1,4,10
21,3,10,12,2,0,6
22,1,7,9,2,3,5
22,2,8,9,1,2,9
22,3,10,13,3,0,5
23,1,2,3,1,7,3
23,2,8,9,1,1,5
23,3,9,12,3,0,2
24,1,3,4,1,7,4
24,2,3,4,1,7,4
24,3,10,11,1,0,2
25,1,1,2,1,9,8
25,2,5,7,2,5,4
25,3,10,12,2,0,7
26,1,1,2,1,9,6
26,2,7,8,1,3,10
26,3,10,11,1,0,9
27,1,2,3,1,8,4
27,2,6,7,1,4,1
27,3,10,12,2,0,9
28,1,2,3,1,5,9
28,2,6,7,1,1,7
28,3,7,8,1,0,5
29,1,1,2,1,5,9
29,2,4,5,1,2,9
29,3,6,7,1,0,8
30,1,2,3,1,4,9
30,2,5,6,1,1,8
30,3,6,8,2,0,7
31,1,3,4,1,6,10
31,2,4,5,1,5,10
31,3,9,10,1,0,9
32,1,0,0,0,0,0
