jobnr,mode,barT,maxT,u_abs,cost,Rreq
1,1,0,0,0,0,0
2,1,3,4,1,7,6
2,2,9,10,1,1,5
2,3,10,12,2,0,6
3,1,1,2,1,4,4
3,2,1,2,1,4,7
3,3,5,6,1,0,4
4,1,3,4,1,5,10
4,2,5,6,1,3,7
4,3,8,11,3,0,6
5,1,4,5,1,6,9
5,2,6,7,1,4,2
5,3,10,11,1,0,5
6,1,2,3,1,4,2
6,2,4,5,1,2,8
6,3,6,7,1,0,2
7,1,3,4,1,5,5
7,2,6,7,1,2,7
7,3,8,11,3,0,5
8,1,4,5,1,6,6
8,2,10,11,1,0,3
8,3,10,12,2,0,4
9,1,2,3,1,8,2
9,2,7,8,1,3,1
9,3,10,11,1,0,1
10,1,1,2,1,8,4
10,2,1,3,2,8,2
10,3,9,11,2,0,4
11,1,6,7,1,4,2
11,2,9,10,1,1,1
11,3,10,12,2,0,1
12,1,0,0,0,0,0
