jobnr,mode,barT,maxT,u_abs,cost,Rreq
1,1,0,0,0,0,0
2,1,5,6,1,5,6
2,2,8,9,1,2,3
2,3,10,12,2,0,6
3,1,2,3,1,1,7
3,2,3,4,1,0,5
3,3,3,4,1,0,1
4,1,3,4,1,5,8
4,2,3,4,1,5,8
4,3,8,11,3,0,7
5,1,4,5,1,4,5
5,2,5,6,1,3,5
5,3,8,9,1,0,4
6,1,3,4,1,5,3
6,2,8,9,1,0,2
6,3,8,9,1,0,2
7,1,3,4,1,1,8
7,2,3,4,1,1,8
7,3,4,5,1,0,9
8,1,6,7,1,3,9
8,2,7,8,1,2,5
8,3,9,12,3,0,2
9,1,1,2,1,7,8
9,2,2,3,1,6,5
9,3,8,9,1,0,4
10,1,3,4,1,5,5
10,2,3,4,1,5,5
10,3,8,10,2,0,4
11,1,1,2,1,9,9
11,2,10,11,1,0,4
11,3,10,12,2,0,7
12,1,0,0,0,0,0
