jobnr,mode,barT,maxT,u_abs,cost,Rreq
1,1,0,0,0,0,0
2,1,2,3,1,4,18
2,2,6,7,1,0,17
2,3,6,8,2,0,15
3,1,1,2,1,8,10
3,2,8,9,1,1,10
3,3,9,10,1,0,9
4,1,1,2,1,3,15
4,2,2,3,1,2,13
4,3,4,6,2,0,13
5,1,3,4,1,7,15
5,2,4,5,1,6,14
5,3,10,11,1,0,12
6,1,1,2,1,6,17
6,2,1,2,1,6,13
6,3,7,8,1,0,10
7,1,2,3,1,7,16
7,2,2,3,1,7,14
7,3,9,10,1,0,10
8,1,7,8,1,2,16
8,2,8,10,2,1,15
8,3,9,10,1,0,12
9,1,3,4,1,1,15
9,2,4,6,2,0,12
9,3,4,5,1,0,13
10,1,5,6,1,3,12
10,2,8,9,1,0,10
10,3,8,9,1,0,9
11,1,3,4,1,6,13
11,2,8,9,1,1,11
11,3,9,10,1,0,5
12,1,0,0,0,0,0
